000035.jpg,322,138,146,202
000082.jpg,67,33,99,137
000122.jpg,148,56,161,223
000213.jpg,90,71,164,227
000266.jpg,59,26,359,471
000327.jpg,57,36,55,76
000388.jpg,128,76,182,252
000403.jpg,58,33,159,220
000447.jpg,179,158,151,209
000490.jpg,200,182,205,284
000563.jpg,72,27,161,223
000639.jpg,127,73,250,346
000648.jpg,409,448,120,166
000662.jpg,160,73,164,227
000746.jpg,710,80,117,162
000749.jpg,280,47,88,122
000792.jpg,71,24,96,133
000909.jpg,115,159,205,284
000990.jpg,320,194,437,605
001190.jpg,14,1,75,104
001343.jpg,47,88,257,356
001399.jpg,90,91,151,209
001444.jpg,89,64,179,248
001757.jpg,146,66,153,207
001837.jpg,62,14,159,220
001904.jpg,132,105,164,227
001919.jpg,53,49,126,187
002011.jpg,494,301,328,454
002019.jpg,271,160,530,734
002020.jpg,150,92,239,331
002021.jpg,337,217,239,331
002067.jpg,130,100,231,320
002083.jpg,97,213,335,464
002105.jpg,61,49,112,148
002126.jpg,94,36,133,184
002136.jpg,54,71,221,306
002220.jpg,1,25,117,162
002595.jpg,31,26,179,248
002634.jpg,94,56,224,310
002677.jpg,64,55,191,256
002692.jpg,264,100,140,194
002706.jpg,251,34,229,317
002741.jpg,145,34,109,151
002757.jpg,75,50,127,176
002931.jpg,48,120,229,317
002942.jpg,74,91,213,295
003032.jpg,273,142,393,544
003033.jpg,116,49,213,295
003101.jpg,6,81,166,230
003105.jpg,610,333,923,1278
003150.jpg,64,124,265,367
003158.jpg,47,51,47,65
003184.jpg,204,176,205,284
003189.jpg,120,28,148,205
003200.jpg,199,35,166,230
003243.jpg,84,57,114,158
003266.jpg,34,83,211,292
003307.jpg,116,25,68,94
003359.jpg,81,77,190,263
003372.jpg,66,37,125,173
003384.jpg,245,3,237,328
003410.jpg,677,116,374,518
003480.jpg,169,86,166,230
003498.jpg,223,31,62,86
003546.jpg,265,181,322,446
003557.jpg,61,85,174,241
003622.jpg,963,419,627,868
003706.jpg,44,91,140,194
003819.jpg,107,41,101,140
003955.jpg,34,55,281,389
003957.jpg,128,33,78,108
004029.jpg,32,38,116,169
004079.jpg,41,150,242,335
004142.jpg,96,27,130,180
004320.jpg,135,91,153,212
004357.jpg,79,58,99,137
004588.jpg,208,72,127,176
004596.jpg,156,15,94,130
004617.jpg,73,37,188,263
004757.jpg,129,69,224,310
004789.jpg,15,65,250,346
004850.jpg,44,8,96,133
004923.jpg,54,8,159,220
004991.jpg,155,39,151,209
005040.jpg,146,58,151,209
005046.jpg,151,124,187,259
005171.jpg,163,85,120,166
